customer_id,purchase_date,order_id,order_value
C001,2024-01-10,ORD-1001,120.50
C001,2024-03-15,ORD-1012,89.99
C001,2024-07-02,ORD-1055,240.00
C002,2023-12-05,ORD-0987,45.00
C002,2024-01-20,ORD-1008,60.00
C003,2023-08-14,ORD-0901,350.00
C004,2024-06-01,ORD-1033,75.00
C004,2024-06-18,ORD-1040,95.00
C004,2024-06-30,ORD-1049,110.00
C005,2023-05-22,ORD-0802,40.00
C006,2024-02-11,ORD-1015,500.00
C006,2024-04-09,ORD-1026,320.00
C006,2024-07-10,ORD-1061,410.00
C007,2024-07-01,ORD-1052,25.00
C008,2023-09-30,ORD-0923,180.00
C008,2023-10-15,ORD-0941,210.00
C009,2024-01-05,ORD-0999,90.00
C010,2023-03-12,ORD-0701,60.00
