customer_id,purchase_date,order_id,order_value
C001,2024-01-10,ORD-1001,120.50
C001,2024-03-15,ORD-1012,89.99
C001,2024-07-02,ORD-1055,240.00
C002,2023-12-05,ORD-0987,45.00
C002,2024-01-20,ORD-1008,60.00
C003,2023-08-14,ORD-0901,350.00
C004,2024-06-01,ORD-1033,75.00
C004,2024-06-18,ORD-1040,95.00
C004,2024-06-30,ORD-1049,110.00
C005,2023-05-22,ORD-0802,40.00
C006,2024-02-11,ORD-1015,500.00
C006,2024-04-09,ORD-1026,320.00
C006,2024-07-10,ORD-1061,410.00
C007,2024-07-01,ORD-1052,25.00
C008,2023-09-30,ORD-0923,180.00
C008,2023-10-15,ORD-0941,210.00
C009,2024-01-05,ORD-0999,90.00
C010,2023-03-12,ORD-0701,60.00
C011,2024-01-15,ORD-1002,150.00
C011,2024-02-28,ORD-1018,220.00
C011,2024-05-10,ORD-1035,180.00
C012,2023-11-20,ORD-0976,95.00
C012,2024-01-08,ORD-1005,75.00
C012,2024-03-25,ORD-1022,280.00
C012,2024-06-15,ORD-1045,195.00
C013,2024-02-14,ORD-1016,420.00
C013,2024-04-01,ORD-1028,380.00
C014,2023-07-10,ORD-0856,55.00
C014,2023-09-05,ORD-0898,85.00
C014,2023-12-18,ORD-0995,125.00
C014,2024-02-22,ORD-1020,165.00
C014,2024-05-30,ORD-1042,210.00
C015,2024-01-25,ORD-1011,310.00
C015,2024-04-18,ORD-1031,425.00
C015,2024-07-05,ORD-1058,390.00
C016,2023-06-15,ORD-0823,70.00
C016,2023-08-30,ORD-0912,95.00
C016,2023-10-25,ORD-0956,110.00
C017,2024-03-12,ORD-1024,260.00
C017,2024-05-08,ORD-1038,295.00
C018,2023-04-18,ORD-0745,180.00
C018,2023-06-22,ORD-0845,220.00
C018,2023-09-10,ORD-0934,195.00
C018,2024-01-30,ORD-1013,240.00
C019,2024-02-05,ORD-1014,85.00
C019,2024-04-15,ORD-1030,120.00
C019,2024-06-25,ORD-1048,155.00
C020,2023-05-08,ORD-0789,410.00
C020,2023-07-22,ORD-0878,380.00
C020,2023-10-08,ORD-0948,450.00
C020,2024-01-12,ORD-1006,520.00
C020,2024-03-20,ORD-1025,485.00
C020,2024-05-15,ORD-1039,510.00
